company_name,valuation,date_joined,country,city,industry,investors,founded_year,total_raised,about_company,company_address_street,company_address_city_state_zip,company_address_city_country,company_address_city_phone,company_url,company_img,financials_investors_count,financials_investments,iso_alpha,continent,year_joined,month_joined,day_joined
Globalization Partners,4.2,2022-01-24,United States,Boston,Enterprise Tech,"Vista Equity Partners, Wincove, TDR Capital",2012,$353.5M,"Globalization Partners is a company focused on providing global employment solutions in the human resources sector. The company offers a platform that enables businesses to find, hire, onboard, and manage teams in over 180 countries without the need to set up new entities. Their services primarily cater to businesses looking to expand their operations globally. It was founded in 2012 and is based in Boston, Massachusetts.",265 Franklin St.. Suite 502,"Boston, Massachusetts, 02110, ",United States,855-361-9518,https://globalization-partners.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/4ba8be76-299e-4a19-ad41-fe0c0b2ff677.png?w=3840,5,,USA,Americas,2022,1,24
Moon Active,5.0,2020-01-26,Israel,Tel Aviv,Media & Entertainment,"Insight Partners, Andalusian Capital Partners",2011,,"Moon Active operates as a mobile game development and research company. It develops multi-genre mobile games for multiple operating systems. The company was founded in 2011 and is based in Tel Aviv, Israel.",42A Maze Street ,"Tel Aviv, 6618356, ",Israel,,https://moonactive.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/2102b2b6-b7a4-4fe5-947e-7328328252a6.png?w=3840,3,2,ISR,Asia,2020,1,26
Doctolib,6.4,2019-03-19,France,Paris,Healthcare & Life Sciences,"BPI France, Kerala Ventures, Accel",2013,$815.98M,"Doctolib offers services in the field of the digital healthcare market. The company operates on both mobile and online platforms and helps users make reservations with doctors. The company was founded in 2013 and is based in Levallois-Perret, France.",54 quai Charles Pasqua ,"Levallois-Perret, 92300, ",France,+33 183355358,https://doctolib.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/35ec12cd-da77-4736-85ae-e3bd951c78cb.png?w=3840,12,,FRA,Europe,2019,3,19
ZongMu Technology,11.4,2021-06-03,China,Shanghai,Industrials,"LTW Capital, Legend Capital, Qualcomm Ventures",2013,$367.83M,"ZongMu Technology develops an advanced driver assistance system, including 2D and 3D panoramic vision systems, self-parking solutions, and driving recording systems.","7-9F, Building 3, Tengfei Science and Technology Building 111 Xiangke Road, Pudong New Area","Shanghai, Shanghai, ",China,+86-21-20708600,https://zongmutech.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/bee0f6b0-0e77-408f-8efd-fa463138ad49.png?w=3840,26,1,CHN,Asia,2021,6,3
CertiK,2.0,2022-03-31,United States,New York,Enterprise Tech,"Tiger Global Management, Lightspeed Venture Partners, Hillhouse Capital Management",2018,$297.35M,"CertiK operates as a blockchain and smart contract auditing company. It provides a formal verification platform for contracts and blockchain ecosystems. The company was founded in 2018 and is based in New York, New York.",1001 Avenue of The Americas Suite 1801,"New York, New York, 10018, ",United States,,https://certik.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/3194b243-e6fb-4200-9333-d79e92f4afb0.png?w=3840,24,,USA,Americas,2022,3,31
Yuanqi Senlin,15.0,2020-03-01,China,Beijing,Consumer & Retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",2016,$721.31M,"Yuanqi Forest produces a range of food and beverage products. Its products include bubble water, tea drinks, juice microbubbles, functional drinks, and yogurt, among others. The company was founded in 2016 and is based in Beijing, China.","Dongsanhuan North Road, Chaoyang District Room 501, 5th Floor, Building 6","Beijing, Beijing, ",China,+86 400 818 0032,https://yuanqisenlin.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/a394d53e-f969-4b34-b51f-48bc6434a6f3.png?w=3840,13,11,CHN,Asia,2020,3,1
Nutrabolt,2.79,2022-12-08,United States,Austin,Consumer & Retail,MidOcean Partners,2002,$3.5M,"Nutrabolt develops and distributes nutritional supplements for the sports nutrition market. It develops dietary supplements for pre-workout, protein and post-workout recovery that are available in different flavors. The company was founded in 2002 and is based in Austin, Texas.

Cellucor is a sports nutrition brand and maker of pre-workout energy drink C4. It offers supplements for pre-workout, sports nutrition, protein powder, muscle building and much more. It was founded in 2002 and is based in Austin, Texas.",4407 Monterey Oaks Blvd Ste. 150,"Austin, Texas, 78749, ",United States,800-870-2070,https://nutrabolt.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/8e305ec6-4e25-404d-bde7-e83b5508ce10.png?w=3840,3,1,USA,Americas,2022,12,8
Tresata,1.0,2018-10-10,United States,Charlotte,Financial Services,GCP Capital Partners,2011,$51.93M,"Tresata is a company that focuses on data analysis automation, operating within the technology and data analytics industry. The company's main service involves providing a digital business platform that enables large-scale data analysis, helping businesses leverage data as an asset to create products and services. Tresata primarily serves the Fortune 500 companies. It was founded in 2011 and is based in Charlotte, North Carolina.",1616 Camden Road  Suite 300,"Charlotte, North Carolina, 28203, ",United States,704-779-5269,https://tresata.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/3a82a851-9a91-4435-bff9-3a6bdf4905b9.png?w=3840,2,,USA,Americas,2018,10,10
Newfront Insurance,2.2,2022-04-12,United States,San Francisco,Insurance,"Founders Fund, Meritech Capital Partners, GS Growth",2020,,"Abe operates as a company specializing in sports betting odds comparison and deal aggregation within the gambling industry. It provides tools and services to help users find the best sports betting odds and promotional deals, without listing specific products or technical details. The company primarily caters to individuals interested in sports betting across various leagues including the National Football League,  National Basketball Association, National Hockey League, and others. It was founded in 2020 and is based in Philadelphia, Pennsylvania.", ,"Philadelphia, Pennsylvania, 19103, ",United States,0800-2488-743,https://abebets.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/9856fe9f-9d6e-4d28-8c02-2d016947289f.png?w=3840,,,USA,Americas,2022,4,12
Mysten Labs,2.0,2022-09-08,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Coinbase Ventures, Circle Ventures",2021,$336M,"Mysten Labs focuses on developing foundational infrastructure for the web3 space. Their main offerings include creating systems that support the acceleration of web3 adoption by enhancing the underlying technology such as distributed systems, cryptography, and programming languages. They cater to sectors that are integrating blockchain and decentralized technologies. It was founded in 2021 and is based in Palo Alto, California.",379 University Avenue Suite 200,"Palo Alto, California, 94301, ",United States,408-384-8237,https://mystenlabs.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/1d412350-b762-4923-82b5-414778e3beda.png?w=3840,25,11,USA,Americas,2022,9,8
Aven,1.0,2024-07-17,United States,San Fransisco,Financial Services,"Khosla Ventures, General Catalyst, Founders Fund",2021,$320K,"Aven designs and manufactures clothing items for women, men, and children. It specializes in using recycled plastic and fabric for creating luxury clothing lines that include golf wear, casual wear, party wear, and other accessories. The company was founded in 2021 and is based in Jeollabuk-do, South Korea.","161 Hyoja-ro, Wansan-gu, Jeonju-si 114-2, Hyoja-dong 3-ga","Jeollabuk-do, 54963, ",South Korea,070-4252-2500,https://avenclothing.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/c72ab924-3add-4750-9d72-cf5595b2c426.png?w=3840,4,,USA,Americas,2024,7,17
Papaya Global,3.7,2021-03-04,United States,New York,Enterprise Tech,"Bessemer Venture Partners, Insight Partners, New Era Ventures",2016,$438.01M,"Papaya Global operates as a financial technology company. The company offers a global payroll technology platform to automate payroll processes, ensuring compliance, and provides flexibility and security. It primarily serves global enterprises, helping them manage workforce spending and payments. It was founded in 2016 and is based in New York, New York.",1460 Broadway Suite 7033,"New York, New York, 100036, ",United States,646-394-9099,https://papayaglobal.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/ec18633b-eb27-41a4-98f9-2862962f99b1.png?w=3840,17,,USA,Americas,2021,3,4
Hive,2.0,2021-04-21,United States,San Francisco,Enterprise Tech,"Tomales Bay Capital, Bain & Company, General Catalyst",2013,$85M,"Hive is a leading provider of cloud-based AI solutions in the fields of content understanding, search, and generation. The company offers a suite of pre-trained AI models and turnkey software for tasks such as content moderation, brand protection, and data labeling. Hive's technology is widely used in platform integrity, sponsorship measurement, and context-based advertising among other applications. It was founded in 2013 and is based in San Francisco, California.",575 Market Street  15th Floor,"San Francisco, California, 94105, ",United States,(415) 937-1886,https://thehive.ai,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/ed94ec27-04b6-4533-a86c-5cce15cabf38.png?w=3840,8,,USA,Americas,2021,4,21
thatgamecompany,1.94,2022-03-03,United States,Los Angeles,Media & Entertainment,"Benchmark, Sequoia Capital, TPG Capital",2006,$172.5M,"Thatgamecompany is a game studio that focuses on the design and development of video games. The company offers artistically crafted, broadly accessible games that aim to push the boundaries of interactive entertainment, providing enriching experiences that inspire human connection. The company primarily sells to the gaming industry. It was founded in 2006 and is based in Los Angeles, California.",1332 N Sycamore Ave #5,"Los Angeles, California, 90028, ",United States,,https://thatgamecompany.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/15f926d2-8cd6-4a78-8e78-77619af783be.png?w=3840,6,,USA,Americas,2022,3,3
0x,1.05,2022-04-26,United States,San Francisco,Financial Services,"Jump Capital, Pantera Capital, Greylock Partners",2016,$85.76M,"0x operates as a company focused on providing application programming interfaces (APIs) for building financial applications in the cryptocurrency sector. The company offers services that enable cryptocurrency trading, facilitate the building of frictionless apps, unlock limit orders, show order history, and curate tokens. Its services primarily cater to the financial technology industry. It was formerly known as 0x protocol. The company was founded in 2016 and is based in San Francisco, California.",300 Beale Street ,"San Francisco, California, 94105, ",United States,,https://0x.org,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/a210f482-a5a2-4c8c-b552-41af0a561719.png?w=3840,12,2,USA,Americas,2022,4,26
Prometheus,1.5,2021-09-23,United States,Santa Cruz,Industrials,"BMW i Ventures, Metaplanet, Maersk Growth",2018,$12.65M,"Prometheus specializes in the conversion of renewable electricity and atmospheric carbon dioxide into zero net carbon fuels within the energy sector. The company offers sustainable alternatives to traditional gasoline, diesel, and jet fuel that can compete with fossil fuels on price. It was founded in 2018 and is based in Santa Cruz, California.",601 Swift Street ,"Santa Cruz, California, 95060, ",United States,,https://prometheusfuels.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/b0c21091-a5ba-4e00-a63c-61721e765752.png?w=3840,4,,USA,Americas,2021,9,23
OYO Rooms,9.0,2018-09-25,India,Gurugram,Consumer & Retail,"SoftBank Group, Sequoia Capital India, Lightspeed India Partners",2012,$3.311B,"OYO provides hospitality services focusing on hotel and home bookings. The company offers a platform for sanitized stays, standardized amenities, and digital management tools for property owners. OYO primarily serves the hospitality and travel sectors by enabling property owners to list their hotels and homes and providing travelers with accommodations. It was founded in 2012 and is based in Gurgaon, India.","Sohna Road 325, Spaze Tech Park Tower B","Gurgaon, 122001, ",India,01244208080,https://oyorooms.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/dabbae60-f85a-4f31-a60a-28aea2d1e10e.png?w=3840,31,2,IND,Asia,2018,9,25
MasterControl,1.3,2022-12-15,United States,Salt Lake City,Healthcare & Life Sciences,InnoVentures Capital Partners,1993,$157.5M,"MasterControl is a company that specializes in manufacturing execution and quality management software solutions in the regulated industries domain. The company offers a range of services including document control, change control, training management, audit management, quality management, and data analytics, all designed to help businesses ensure quality and compliance in their operations. MasterControl primarily serves sectors such as pharmaceuticals, medical devices, dietary supplements, and food & beverage. MasterControl was formerly known as Document Control Systems. It was founded in 1993 and is based in Salt Lake City, Utah.",6350 South 3000 East ,"Salt Lake City, Utah, 84121, ",United States,801-942-4000,https://mastercontrol.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/06d8f6de-39b0-4f0a-a663-de96a0c56c9a.png?w=3840,3,,USA,Americas,2022,12,15
Urban Company,2.1,2021-04-27,India,Gurgaon,Consumer & Retail,"VY Capital, Accel, Elevation Capital",2014,$441.24M,"Urban Company offers a home services marketplace. The company offers a range of services including regular house cleaning, deep house cleaning, and recurring cleaning services, all provided by pre-screened and vetted professionals. The services are designed to cater to various needs, from standard cleaning for special occasions to deep cleaning for move-ins or move-outs, and regular cleaning for ongoing maintenance. Urban Company was formerly known as UrbanClap. It was founded in 2014 and is based in Gurugram, India.","183, Udyog Vihar Phase 1 Sector 18, 7th Floor","Gurugram, 122015, ",India,+91 124 457 0250,https://urbancompany.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/79e27f84-6c48-4848-8ea8-77b76efeb8e8.png?w=3840,19,2,IND,Asia,2021,4,27
Netskope,7.5,2018-11-13,United States,Santa Clara,Enterprise Tech,"Lightspeed Venture Partners, Social Capital, Accel",2012,$1.441B,"Netskope operates as a cybersecurity company. It focuses on redefining cloud, data, and network security. The company offers a range of products and solutions, including the intelligent security service edge (SSE) platform, which provides, security for people, devices, and data wherever they are. Its services include protection against advanced and cloud-enabled threats, secure access to web and cloud applications, and data loss prevention. The company primarily serves the cybersecurity industry. It was founded in 2012 and is based in Santa Clara, California.",2445 Augustine Drive 3rd Floor,"Santa Clara, California, 95054, ",United States,800-979-6988,https://netskope.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/92aa9d25-594b-4b41-925a-a4e769778669.png?w=3840,19,,USA,Americas,2018,11,13
Wayflyer,1.6,2022-02-01,Ireland,Dublin,Financial Services,"QED Investors, DST Global, Left Lane Capital",2019,$2.189B,"Wayflyer provides a revenue-based financing platform for e-commerce merchants. The company offers an analytics platform to analyze marketing performance on a daily basis and helps e-commerce businesses with insights for their decision-making. It was founded in 2019 and is based in Dublin, Ireland.",19-22 Baggot Street Lower Dublin 2,"Dublin, ",Ireland,,https://wayflyer.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/4d53333e-3bf0-48be-b4e5-f0a92dfa68b5.png?w=3840,16,3,IRL,Europe,2022,2,1
Unite Us,1.6,2021-03-16,United States,New York,Healthcare & Life Sciences,"Insight Partners, Sequoia Capital, Index Ventures",2013,$195.55M,"Unite Us specializes in social care coordination and technology solutions within the healthcare and community support sectors. The company offers a platform for closed-loop referrals, data insights, payment management, and care coordination services to streamline processes and support whole-person care. Unite Us primarily serves government entities, healthcare providers, health plans, and non-profit organizations. It was founded in 2013 and is based in New York, New York.",217 Broadway 8th Floor,"New York, New York, 10007, ",United States,800-461-9330,https://uniteus.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/71ba8e30-0955-45ac-9ed6-c1c386d5e152.png?w=3840,16,,USA,Americas,2021,3,16
Andela,1.5,2021-09-29,United States,New York,Enterprise Tech,"Spark Capital, Google Ventures, CRE Venture Capital",2014,$374.61M,"Andela provides an integrated platform to access a global talent network. It allows users to enhance skills and pairs with companies as full-time, distributed team members. It was founded in 2014 and is based in New York, New York.",580 Fifth Avenue Suite 820,"New York, New York, 10036, ",United States,646-726-4003,https://andela.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/08a82f14-4f22-4d26-9229-58e516150aed.png?w=3840,,,USA,Americas,2021,9,29
Handshake,3.5,2021-05-12,United States,San Francisco,Enterprise Tech,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",2014,$430.5M,"Handshake provides a platform where students, career centers, and recruiters share opportunities. It offers a career networking and recruiting platform for college students and young alumni. The company was founded in 2014 and is based in San Francisco, California.",225 Bush Street Suite 1200,"San Francisco, California, 94104, ",United States,248-255-7341,https://joinhandshake.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/a7c684f4-ce50-435a-af7d-9154384f838d.png?w=3840,16,,USA,Americas,2021,5,12
Nimble Rx,1.4,2022-06-14,United States,Redwood City,Healthcare & Life Sciences,"Sequoia Capital, Four Rivers Group, DAG Ventures",2015,$43.25M,"Nimble focuses on pharmacy and prescription management within the healthcare sector. It offers a platform that streamlines the process of filling, refilling, and paying for prescriptions and includes options for delivery or in-store pickup. The company primarily serves the healthcare industry. Nimble was formerly known as Nimble Pharmacy. It was founded in 2015 and is based in Redwood City, California.",2317 Broadway Suite 1,"Redwood City, California, 94063, ",United States,866-966-4625,https://nimblerx.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/dee7e3e4-9e0c-4b40-8b7d-8613cfe28fcd.png?w=3840,7,,USA,Americas,2022,6,14
